ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-513195,Source2,1,2022-09-06 21:42:55,2022-09-06 22:28:04,39.122307,-121.579536,,,0.0,Crash on Feather River Blvd at Alicia Ave.,Feather River Blvd,Olivehurst,Yuba,CA,95961-6644,US,US/Pacific,KMYV,2022-09-06 21:53:00,92.0,92.0,34.0,29.7,10.0,VAR,7.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-513196,Source2,2,2022-09-06 19:15:15,2022-09-06 22:27:46,36.775768,-119.749039,,,0.0,#1 lane blocked due to crash on CA-168 Eastbound at Shields Ave.,CA-168,Fresno,Fresno,CA,93703,US,US/Pacific,KFAT,2022-09-06 18:53:00,111.0,111.0,14.0,29.37,10.0,NNW,6.0,0.0,Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513197,Source2,4,2022-09-06 23:18:03,2022-09-07 01:51:04,30.483221,-84.307182,,,6.059999942779541,Crash on I-10 Westbound from Exit 203 FL-61 to Exit 199 US-27 Monroe St.,I-10,Tallahassee,Leon,FL,32303,US,US/Eastern,KTLH,2022-09-06 22:53:00,78.0,78.0,84.0,29.94,10.0,W,3.0,0.0,Mostly Cloud,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-513198,Source2,3,2022-09-06 21:04:13,2022-09-07 01:27:49,40.847946,-73.942787,,,0.0,One lane blocked due to crash on I-95 George Washington Bridge Southbound at Exit 1 NY-9A Henry Hudson Pkwy Exits 14 15.,Haven Ave,New York,New York,NY,10033-5312,US,US/Eastern,KNYC,2022-09-06 21:11:00,68.0,68.0,96.0,29.93,2.0,ENE,9.0,0.01,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-513199,Source2,2,2022-09-06 15:55:11,2022-09-06 22:28:00,33.434761,-112.588509,,,2.3199999332427983,Crash on exit ramp from I-10 Westbound at Exit 114 to S Miller Rd Northbound.,Papago Fwy W,Buckeye,Maricopa,AZ,85326,US,US/Mountain,KBXK,2022-09-06 15:55:00,108.0,108.0,11.0,28.75,10.0,VAR,5.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513200,Source2,2,2022-09-06 19:19:20,2022-09-06 22:57:52,34.705132,-113.611847,,,0.0,Right lane blocked due to crash on US-93 Southbound after Wikieup.,Chicken Springs Rd,Lake Havasu City,Mohave,AZ,86406,US,US/Pacific,KEED,2022-09-06 18:56:00,108.0,108.0,13.0,28.74,10.0,S,6.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-513201,Source2,1,2022-09-06 16:05:57,2022-09-06 22:27:59,35.22094699999999,-114.124573,,,0.0,Right hand shoulder blocked due to crash on US-93 Southbound at Exit 67 AZ-68.,N US Highway 93,Golden Valley,Mohave,AZ,86413,US,US/Mountain,KIGM,2022-09-06 15:51:00,102.0,102.0,15.0,26.54,10.0,S,15.0,0.0,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513202,Source2,1,2022-09-06 17:27:51,2022-09-06 22:27:56,33.291160999999995,-112.018509,,,0.4000000059604645,Crash on exit ramp from AZ-202-LOOP Southbound at Exit 57 to S 32nd St Southbound.,,Phoenix,Maricopa,AZ,85048,US,US/Mountain,KPHX,2022-09-06 17:51:00,107.0,107.0,13.0,28.63,10.0,SSE,5.0,0.0,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-513203,Source2,1,2022-09-06 17:07:34,2022-09-06 22:27:57,33.461315,-112.082367,,,0.0,Right hand shoulder blocked due to crash on I-10 Eastbound at Exits 144 144A 7th Ave.,I-10 W,Phoenix,Maricopa,AZ,85003,US,US/Mountain,KPHX,2022-09-06 16:51:00,109.0,109.0,13.0,28.63,10.0,ESE,12.0,0.0,Mostly Cloud,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-513204,Source2,2,2022-09-06 20:56:16,2022-09-06 22:27:38,33.504379,-111.787926,,,0.0,Lane blocked due to crash on AZ-87 Southbound near Gilbert Rd.,N Gilbert Rd,Scottsdale,Maricopa,AZ,85256,US,US/Mountain,KFFZ,2022-09-06 20:51:00,105.0,105.0,13.0,28.65,10.0,SSE,10.0,0.0,Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
